datetime,temp_2m,pm10,no2,co,o3
2018-01-12 00:00:00,274.92822,5.1574983e-08,3.094725e-08,4.9312376e-07,4.8902393e-09
2018-01-12 03:00:00,274.79565,4.8851856e-08,2.9374537e-08,4.83805e-07,8.191438e-09
2018-01-12 06:00:00,274.6018,4.7829285e-08,2.8717507e-08,4.7354982e-07,5.9120526e-09
2018-01-12 09:00:00,277.2849,4.7263107e-08,2.1228516e-08,4.8668517e-07,1.3243556e-08
2018-01-12 12:00:00,280.2505,1.9437572e-08,1.8931498e-08,3.1280015e-07,3.708219e-08
2018-01-12 15:00:00,280.6753,1.5782781e-08,1.7338683e-08,2.5260155e-07,3.4854647e-08
2018-01-12 18:00:00,276.6167,3.926036e-08,2.6296595e-08,3.8058675e-07,4.3691846e-09
2018-01-12 21:00:00,273.9287,5.542546e-08,2.5824916e-08,5.248808e-07,4.961158e-10
2018-01-13 00:00:00,272.52563,6.091096e-08,3.013198e-08,6.055709e-07,1.10080035e-10
2018-01-13 03:00:00,271.87964,5.3613395e-08,3.15442e-08,5.716315e-07,1.4963688e-09
2018-01-13 06:00:00,271.43237,5.4506184e-08,3.0101514e-08,5.99779e-07,2.1884246e-09
2018-01-13 09:00:00,273.7766,4.7473996e-08,2.322865e-08,5.407269e-07,1.0823278e-08
2018-01-13 12:00:00,278.76123,4.444476e-08,2.6053007e-08,3.833589e-07,2.8603994e-08
2018-01-13 15:00:00,279.1975,2.622129e-08,1.6016005e-08,2.3991754e-07,3.4784595e-08
2018-01-13 18:00:00,276.29102,4.5436423e-08,2.8939368e-08,3.6897998e-07,1.9291735e-09
2018-01-13 21:00:00,273.17603,5.9311308e-08,2.6862168e-08,5.2063433e-07,5.974316e-11
2018-01-14 00:00:00,272.40234,5.4138273e-08,3.4851293e-08,5.3334145e-07,2.4655162e-09
2018-01-14 03:00:00,271.30713,5.3331807e-08,3.4082635e-08,5.5097036e-07,2.8022706e-09
2018-01-14 06:00:00,270.8269,5.2885326e-08,3.2122703e-08,5.5601157e-07,2.0719135e-09
2018-01-14 09:00:00,273.0476,5.0678718e-08,2.6834774e-08,5.5044757e-07,8.5989225e-09
2018-01-14 12:00:00,276.79712,4.9511268e-08,2.1046265e-08,3.7283638e-07,2.7237654e-08
2018-01-14 15:00:00,276.84497,3.9109864e-08,1.6868116e-08,2.8136273e-07,2.6712067e-08
2018-01-14 18:00:00,275.32007,5.09449e-08,3.009744e-08,3.6736083e-07,1.3869534e-09
2018-01-14 21:00:00,272.4226,6.151771e-08,2.5812655e-08,5.119281e-07,1.6387859e-10
2018-01-15 00:00:00,272.37402,5.194253e-08,2.9681425e-08,4.9535015e-07,2.1705522e-09
2018-01-15 03:00:00,272.20312,5.165478e-08,3.163123e-08,5.1464167e-07,9.011063e-10
2018-01-15 06:00:00,271.9712,5.760067e-08,3.047227e-08,5.8443544e-07,3.123583e-10
2018-01-15 09:00:00,273.22583,5.5046417e-08,2.4479467e-08,5.6558133e-07,7.0629738e-09
2018-01-15 12:00:00,276.41406,2.266037e-08,7.3815256e-09,2.4748263e-07,3.539335e-08
2018-01-15 15:00:00,276.93555,2.0184828e-08,7.494846e-09,2.3259351e-07,3.428945e-08
2018-01-15 18:00:00,276.27466,2.9566127e-08,1.617937e-08,2.746843e-07,1.5819333e-08
2018-01-15 21:00:00,276.16968,2.7484344e-08,1.6090993e-08,2.7466652e-07,1.730319e-08
2018-01-16 00:00:00,275.81836,2.458179e-08,1.5304886e-08,2.8029058e-07,1.7687068e-08
2018-01-16 03:00:00,275.81152,2.6567399e-08,2.0157186e-08,3.0479075e-07,1.2278169e-08
2018-01-16 06:00:00,275.91113,3.1022495e-08,2.3116455e-08,3.3664637e-07,6.7782437e-09
2018-01-16 09:00:00,276.43066,3.2957946e-08,1.6274766e-08,3.5322768e-07,1.3061261e-08
2018-01-16 12:00:00,279.21973,8.645376e-09,6.1254326e-09,2.3715857e-07,3.1823927e-08
2018-01-16 15:00:00,280.16455,9.667609e-09,6.1671113e-09,2.1943112e-07,3.511065e-08
2018-01-16 18:00:00,277.00684,2.0299627e-08,1.765699e-08,2.778797e-07,1.3183691e-08
2018-01-16 21:00:00,276.94043,2.3010088e-08,2.1566056e-08,3.0082958e-07,9.55044e-09
2018-01-17 00:00:00,276.9663,2.1964286e-08,2.1129853e-08,2.8139058e-07,1.3682101e-08
2018-01-17 03:00:00,276.70557,2.7009254e-08,1.9333864e-08,3.0031828e-07,1.6765263e-08
